,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
138,139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1
139,140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1
143,144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1
145,146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0
146,147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0
150,151,15650237,Morgan,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0
152,153,15811589,Metcalfe,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0
155,156,15679145,Chou,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1
157,158,15623595,Clayton,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0
160,161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0
163,164,15680772,Hu,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0
164,165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1
167,168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0
168,169,15574692,Pinto,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1
175,176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0
178,179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0
180,181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0
187,188,15708710,Ford,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0
188,189,15726676,Marshall,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0
194,195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0
196,197,15635905,Moran,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0
200,201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0
202,203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1
204,205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0
206,207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1
217,218,15786308,Millar,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0
221,222,15787155,Yang,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0
240,241,15812009,Grant,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0
244,245,15576269,Madison,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0
251,252,15753754,Morrison,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0
254,255,15665834,Cheatham,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0
255,256,15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0
261,262,15673481,Morton,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0
264,265,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0
265,266,15813163,Ch'iu,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0
268,269,15717398,Fielding,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1
270,271,15787071,Dulhunty,650,Spain,Male,41,9,0.0,2,0,1,191599.67,0
275,276,15758685,Dubinina,706,Spain,Female,37,7,0.0,2,1,1,110899.3,0
281,282,15669169,Hargreaves,775,Spain,Male,29,10,0.0,2,1,1,68143.93,0
286,287,15573112,Kang,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
288,289,15727556,O'Donnell,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,0
289,290,15697307,Nnachetam,588,Spain,Male,34,10,0.0,2,1,0,79078.91,0
291,292,15607098,Ahmed,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,0
293,294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1
297,298,15684173,Chang,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1
301,302,15682541,Hartley,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,0
314,315,15631868,Robertson,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,0
315,316,15581539,Atkinson,474,Spain,Male,37,3,0.0,2,0,0,57175.32,0
317,318,15666252,Ritchie,706,Spain,Male,42,9,0.0,2,1,1,28714.34,0
318,319,15677512,McEncroe,628,Spain,Female,22,3,0.0,1,1,0,85426.28,0
320,321,15810834,Gordon,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,0
331,332,15601274,Hsieh,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,0
334,335,15742668,Day,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,0
338,339,15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,1
342,343,15681081,Marrero,545,Spain,Female,47,5,0.0,2,1,1,38970.14,0
350,351,15659420,Foley,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0
351,352,15593365,Shih,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,0
352,353,15777352,Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,0
353,354,15812007,Power,670,Spain,Male,25,6,0.0,2,1,1,78358.94,0
356,357,15611759,Simmons,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0
357,358,15661629,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1
360,361,15803716,West,706,Spain,Male,28,3,0.0,2,0,1,181543.67,0
365,366,15613085,Ibrahimova,628,Spain,Female,33,3,0.0,1,1,1,188193.25,0
370,371,15611579,Sutherland,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,0
377,378,15667871,Kerr,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0
378,379,15677371,Ko,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,0
379,380,15629677,Distefano,687,Spain,Female,39,2,0.0,3,0,0,188150.6,1
386,387,15721181,Oliver,611,Spain,Male,46,6,0.0,2,1,0,45886.33,0
387,388,15776433,Greco,730,Spain,Male,62,2,0.0,2,1,1,186489.95,0
388,389,15748936,Whitehead,709,Spain,Female,45,2,0.0,2,0,1,162922.65,0
392,393,15573456,Cunningham,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1
393,394,15684548,Demidov,556,Spain,Male,38,8,0.0,2,0,0,417.41,1
394,395,15620505,Celis,594,Spain,Female,24,0,97378.54,1,1,1,71405.17,0
402,403,15781589,Carpenter,751,Spain,Male,52,8,0.0,2,0,1,179291.85,0
403,404,15732674,Fennell,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,0
406,407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1
407,408,15745354,Franklin,611,Spain,Female,37,4,0.0,2,1,0,125696.26,0
410,411,15566594,McKenzie,709,Spain,Male,23,10,0.0,2,0,0,129590.18,0
412,413,15686302,Fisk,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0
414,415,15810432,Moseley,795,Spain,Male,35,8,0.0,2,1,0,167155.36,0
415,416,15809616,Hsiung,626,Spain,Male,26,8,0.0,2,0,0,191420.71,0
444,445,15787470,Parkinson,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1
449,450,15658169,Cook,778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0
452,453,15710825,Ch'en,592,Spain,Male,31,7,110071.1,1,0,0,43921.36,0
453,454,15668444,He,590,Spain,Female,44,3,139432.37,1,1,0,62222.81,0
459,460,15662976,Lettiere,637,Spain,Male,37,8,0.0,1,1,1,186062.36,0
462,463,15670039,Sun,509,Spain,Female,25,3,108738.71,2,1,0,106920.57,0
464,465,15613786,Ogbonnaya,818,Spain,Male,26,4,0.0,2,1,1,167036.94,0
466,467,15663252,Olisanugo,850,Spain,Female,32,9,0.0,2,1,1,18924.92,0
470,471,15759298,Shih,631,Spain,Male,27,10,134169.62,1,1,1,176730.02,0
480,481,15695585,Atkins,788,Spain,Male,34,6,156478.62,1,0,1,181196.76,0
484,485,15676519,George,615,Spain,Male,61,9,0.0,2,1,0,150227.85,1
490,491,15714689,Houghton,591,Spain,Male,29,1,97541.24,1,1,1,196356.17,0
500,501,15727688,Chizuoke,555,Spain,Male,32,4,0.0,2,1,1,54405.79,0
503,504,15730059,Udobata,638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0
504,505,15715527,Freeman,543,Spain,Female,41,4,0.0,1,0,0,194902.16,0
509,510,15598883,King,599,Spain,Female,37,2,0.0,2,1,1,143739.29,0
512,513,15782236,Gibbs,735,Spain,Male,34,5,0.0,2,0,0,71095.41,0
515,516,15746902,Belstead,793,Spain,Male,38,9,0.0,2,1,0,88225.02,0
522,523,15595766,Watts,527,Spain,Male,37,5,93722.73,2,1,1,139093.73,0
530,531,15736112,Walton,519,Spain,Female,57,2,119035.35,2,1,1,29871.79,0
531,532,15749851,Brookes,702,Spain,Female,26,4,135219.57,1,0,1,59747.63,0
533,534,15592300,Mai,543,Spain,Male,35,10,59408.63,1,1,0,76773.53,0
537,538,15739803,Lucciano,686,Spain,Male,34,9,0.0,2,1,0,127569.8,0
543,544,15705953,Kodilinyechukwu,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1
545,546,15615457,Burns,842,Spain,Female,44,2,112652.08,2,1,0,126644.98,0
552,553,15763063,Price,685,Spain,Female,25,10,128509.63,1,1,0,121562.33,0
555,556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1
558,559,15717046,Wentworth-Shields,741,Spain,Male,53,3,0.0,2,1,1,38913.68,0
559,560,15571816,Ritchie,850,Spain,Female,70,5,0.0,1,1,1,705.18,0
561,562,15800440,Power,650,Spain,Male,61,1,152968.73,1,0,1,82970.69,0
562,563,15665678,Tan,607,Spain,Male,36,8,158261.68,1,1,1,76744.72,0
564,565,15788126,Evans,689,Spain,Female,38,6,121021.05,1,1,1,12182.15,0
566,567,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1
567,568,15689614,Teng,687,Spain,Female,63,1,137715.66,1,1,1,37938.74,0
573,574,15607312,Ch'ang,648,Spain,Female,49,10,0.0,2,1,1,159835.78,1
574,575,15644753,Hung,848,Spain,Male,40,3,110929.96,1,1,1,30876.84,0
576,577,15761986,Obialo,439,Spain,Female,32,3,138901.61,1,1,0,75685.97,0
580,581,15692671,Dobson,701,Spain,Male,36,8,0.0,2,1,0,169161.46,0
581,582,15737741,McKay,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1
582,583,15576352,Revell,586,Spain,Female,57,3,0.0,2,0,1,6057.81,0
586,587,15722010,Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1
589,590,15591047,Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1
593,594,15775153,Buchi,630,Spain,Male,32,4,82034.0,1,0,0,146326.45,0
594,595,15603925,Greco,779,Spain,Female,26,4,174318.13,2,0,1,38296.21,0
596,597,15697183,Uchenna,685,Spain,Male,43,9,0.0,2,1,0,107811.28,0
601,602,15645569,Mai,762,Spain,Female,26,7,123709.46,2,1,1,169654.57,0
613,614,15805062,Lynton,667,Spain,Male,38,1,87202.38,1,1,1,77866.91,0
615,616,15745295,Gether,727,Spain,Female,31,0,0.0,1,1,0,121751.04,1
616,617,15719352,Davidson,754,Spain,Male,39,6,170184.99,2,1,0,89593.26,0
618,619,15594594,Loggia,546,Spain,Male,42,7,139070.51,1,1,1,86945.0,0
619,620,15646161,Steinhoff,673,Spain,Female,37,8,0.0,2,1,1,183318.79,0
621,622,15603134,Pai,656,Spain,Female,40,10,167878.5,1,0,1,151887.16,0
624,625,15745307,Ch'iu,477,Spain,Female,48,2,129120.64,1,0,1,26475.79,0
625,626,15604119,Alderete,850,Spain,Male,35,7,110349.82,1,0,0,126355.8,0
629,630,15692463,Rahman,799,Spain,Female,28,3,142253.65,1,1,0,45042.56,0
632,633,15718673,Mirams,839,Spain,Female,33,10,75592.43,1,1,0,62674.42,0
635,636,15633648,Jideofor,696,Spain,Female,51,5,0.0,2,1,0,55022.43,0
636,637,15603323,Bell,660,Spain,Female,33,1,0.0,2,0,0,117834.91,0
640,641,15784844,K'ung,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1
654,655,15751710,Ginikanwa,729,Spain,Male,31,8,164870.81,2,1,1,9567.39,0
656,657,15813741,Nnachetam,549,Spain,Male,25,6,193858.2,1,0,1,21600.11,0
661,662,15699637,Anenechi,694,Spain,Male,57,8,116326.07,1,1,1,117704.65,0
668,669,15640825,Loyau,695,Spain,Male,46,3,122549.64,1,1,1,56297.85,0
673,674,15745621,Wertheim,640,Spain,Female,32,6,118879.35,2,1,1,19131.71,0
674,675,15642394,He,529,Spain,Male,35,5,0.0,2,1,1,187288.5,0
676,677,15607040,P'an,593,Spain,Female,38,4,88736.44,2,1,0,67020.03,0
678,679,15810978,Pugliesi,788,Spain,Female,70,1,0.0,2,1,1,41610.62,0
679,680,15668886,Blakey,684,Spain,Female,38,3,0.0,2,1,0,44255.65,0
681,682,15613880,Higinbotham,591,Spain,Male,58,5,128468.69,1,0,1,137254.55,0
685,686,15600337,Dobie,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1
696,697,15727299,Edgar,445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1
698,699,15669516,Steele,746,Spain,Male,36,2,0.0,2,1,1,16436.56,0
702,703,15603436,Savage,594,Spain,Female,49,2,126615.94,2,0,1,123214.74,0
703,704,15566292,Okwuadigbo,574,Spain,Male,36,1,0.0,2,0,1,71709.12,0
712,713,15629448,Brady,632,Spain,Male,38,1,120599.21,1,1,0,92816.86,0
714,715,15807609,Yuan,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1
717,718,15804072,Chen,701,Spain,Female,42,5,0.0,2,0,0,24210.56,0
720,721,15721658,Fleming,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1
721,722,15578761,Cunningham,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1
732,733,15723873,Ponomarev,657,Spain,Male,31,3,125167.02,1,0,0,98820.39,0
736,737,15794278,Romani,816,Spain,Male,67,6,151858.98,1,1,1,72814.31,0
747,748,15587535,Onyemauchechukwu,450,Spain,Female,46,5,177619.71,1,1,0,54227.06,0
748,749,15813034,Martin,727,Spain,Male,38,2,62276.99,1,1,1,59280.79,0
754,755,15685997,Azubuike,838,Spain,Female,39,5,166733.92,2,1,0,14279.44,0
757,758,15815364,Ashley,736,Spain,Female,28,2,0.0,2,1,1,117431.1,0
765,766,15812351,Beluchi,710,Spain,Female,27,2,135277.96,1,1,0,142200.15,0
768,769,15724296,Kerr,684,Spain,Male,41,2,119782.72,2,0,0,120284.67,0
777,778,15628936,Archer,692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1
779,780,15769974,Shih,679,Spain,Female,35,8,119182.73,1,0,0,121210.09,0
785,786,15660155,Lorenzo,792,Spain,Male,36,5,92140.15,1,0,1,67468.67,0
788,789,15600739,Galkin,562,Spain,Female,35,0,0.0,2,1,0,119899.52,0
789,790,15653253,Pagnotto,704,Spain,Male,48,8,167997.6,1,1,1,173498.45,0
803,804,15712825,Howells,511,Spain,Female,29,9,0.0,2,0,1,140676.98,0
805,806,15756026,Hooper,790,Spain,Female,46,9,0.0,1,0,0,14679.81,1
811,812,15649992,Alexander,681,Spain,Male,65,7,134714.7,2,0,1,190419.81,0
812,813,15578980,Piazza,516,Spain,Female,33,3,0.0,2,1,1,58685.59,0
818,819,15591969,Kuo,497,Spain,Male,27,9,75263.16,1,1,1,164825.04,0
822,823,15765311,Zhirov,642,Spain,Male,34,8,0.0,1,1,0,72085.1,0
823,824,15757811,Lloyd,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1
824,825,15603830,Palmer,600,Spain,Male,36,4,0.0,2,1,0,143635.36,0
827,828,15666633,Huang,758,Spain,Male,56,1,0.0,2,1,1,10643.38,0
831,832,15726234,Trentini,708,Spain,Female,41,5,0.0,1,0,1,157003.99,0
836,837,15585036,Okoli,694,Spain,Female,37,3,0.0,2,1,1,147012.22,0
838,839,15585888,Nwokezuike,553,Spain,Female,48,3,0.0,1,0,1,30730.95,1
843,844,15672012,Jen,773,Spain,Female,41,5,0.0,1,1,0,28266.9,1
848,849,15646558,Clamp,611,Spain,Male,51,1,122874.74,1,1,1,149648.45,0
855,856,15686436,Newbery,523,Spain,Male,32,4,0.0,2,1,0,167848.02,0
857,858,15760550,Duncan,741,Spain,Male,39,7,143637.58,2,0,1,174227.66,0
858,859,15686137,Barry,456,Spain,Male,32,9,147506.25,1,1,1,135399.21,0
877,878,15800228,Bednall,652,Spain,Female,42,4,0.0,2,1,1,38152.01,0
886,887,15591711,Sleeman,739,Spain,Male,38,0,128366.44,1,1,0,12796.43,0
890,891,15768104,Wright,788,Spain,Male,37,8,141541.25,1,0,0,66013.27,0
908,909,15754713,Rivera,685,Spain,Male,31,10,135213.71,1,1,1,125777.28,0
909,910,15693814,Niu,806,Spain,Male,25,7,0.0,2,1,0,18461.9,0
911,912,15746490,Wollstonecraft,648,Spain,Female,53,6,111201.41,1,1,1,121542.29,0
912,913,15566091,Thomsen,545,Spain,Female,32,4,0.0,1,1,0,94739.2,0
918,919,15593773,Olejuru,784,Spain,Male,35,3,0.0,2,0,0,81483.64,0
919,920,15733114,Hay,552,Spain,Male,45,9,0.0,2,1,0,26752.56,0
921,922,15743411,Chiawuotu,609,Spain,Male,61,1,0.0,1,1,0,22447.85,1
926,927,15628303,Thurgood,738,Spain,Male,35,3,0.0,1,1,1,15650.73,0
930,931,15790782,Baryshnikov,661,Spain,Male,39,6,132628.98,1,0,0,38812.67,0
933,934,15737795,Scott,512,Spain,Male,36,1,0.0,1,0,1,135482.26,1
934,935,15790299,Williamson,592,Spain,Male,37,9,0.0,3,1,1,10656.89,0
940,941,15754084,Palazzi,710,Spain,Male,35,1,106518.52,1,1,1,127951.81,0
945,946,15709295,Wall,697,Spain,Female,25,5,82931.85,2,1,1,128373.88,0
946,947,15745324,Milani,599,Spain,Female,39,4,0.0,1,1,0,194273.2,1
953,954,15671139,Brizendine,694,Spain,Male,39,0,107042.74,1,1,1,102284.2,0
954,955,15660429,Ch'in,665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1
956,957,15631681,Jibunoh,807,Spain,Female,43,0,0.0,2,0,1,85523.24,0
957,958,15731522,Ts'ui,771,Spain,Female,67,8,0.0,2,1,1,51219.8,0
958,959,15619529,Ndukaku,531,Spain,Male,27,8,132576.25,1,0,0,7222.92,0
961,962,15582797,Ch'iu,685,Spain,Male,35,4,137948.51,1,1,0,113639.64,0
962,963,15753831,Cox,642,Spain,Male,32,7,100433.8,1,1,1,39768.59,0
963,964,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1
967,968,15720893,Gilbert,637,Spain,Female,34,9,0.0,2,0,0,26057.08,0
973,974,15779711,Gray,750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0
975,976,15685357,Wright,750,Spain,Female,36,8,112940.07,1,0,1,9855.81,0
987,988,15613749,Lees,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1
988,989,15664521,David,659,Spain,Male,31,7,149620.88,2,1,1,104533.51,0
993,994,15782899,Ginn,661,Spain,Female,28,7,95357.49,1,0,0,102297.15,0
994,995,15623521,Sozonov,838,Spain,Male,43,9,123105.88,2,1,0,145765.83,0
995,996,15810218,Sun,610,Spain,Male,29,9,0.0,3,0,1,83912.24,0
996,997,15645621,Hunter,811,Spain,Male,44,3,0.0,2,0,1,78439.73,0
997,998,15608114,Manfrin,587,Spain,Male,62,7,121286.27,1,0,1,6776.92,0
1006,1007,15739189,Johnson,561,Spain,Female,33,6,0.0,2,1,0,45261.47,0
1009,1010,15750765,Sanders,650,Spain,Male,71,0,0.0,1,1,1,175380.77,0
1011,1012,15698442,Eberechukwu,719,Spain,Male,35,3,122964.88,1,1,1,138231.7,0
1013,1014,15603594,Nwankwo,635,Spain,Male,24,4,0.0,2,1,1,70668.77,0
1014,1015,15585961,Talbot,496,Spain,Female,43,3,0.0,2,0,1,199505.53,0
1021,1022,15717164,Genovese,485,Spain,Male,32,6,102238.01,2,1,1,194010.12,0
1028,1029,15686345,McCaffrey,828,Spain,Male,34,9,0.0,2,1,1,81853.98,0
1029,1030,15688071,Collins,609,Spain,Male,53,10,0.0,1,1,1,154642.91,0
1032,1033,15750243,Genovese,830,Spain,Male,40,4,0.0,2,0,1,81622.52,0
1035,1036,15652955,Price,678,Spain,Male,30,0,0.0,1,1,0,35113.08,0
1040,1041,15780870,McKay,580,Spain,Male,67,3,153946.14,1,1,1,7418.92,0
1042,1043,15593969,Abramovich,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1
1045,1046,15785980,Williford,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0
1046,1047,15644200,Hamilton,807,Spain,Female,42,1,0.0,1,1,0,16500.66,1
1051,1052,15715003,Ko,625,Spain,Female,49,2,80816.45,1,1,1,20018.79,0
1053,1054,15798348,Chukwuebuka,600,Spain,Female,50,6,94684.27,1,1,1,50488.91,0
1054,1055,15743016,MacDonald,602,Spain,Female,22,7,141604.76,1,1,0,30379.6,0
1055,1056,15769499,Lampungmeiua,545,Spain,Female,74,3,0.0,2,1,1,161326.73,0
1056,1057,15798521,Tai,675,Spain,Male,33,3,0.0,2,1,0,45348.08,0
1060,1061,15650933,Ma,490,Spain,Female,48,8,155413.06,1,1,0,187921.3,0
1061,1062,15692991,Wood,710,Spain,Female,38,4,0.0,2,1,1,136390.88,0
1072,1073,15625698,Dumetochukwu,624,Spain,Female,23,6,0.0,2,0,1,196668.51,0
1073,1074,15790497,Ross,503,Spain,Male,37,6,0.0,2,0,0,136506.86,0
1076,1077,15750929,Burgess,702,Spain,Male,39,8,0.0,2,1,0,99654.13,0
1081,1082,15699911,Chapman,461,Spain,Female,35,8,0.0,1,1,0,132295.95,0
1082,1083,15663438,Andrejew,688,Spain,Male,36,0,89772.3,1,1,0,177383.68,1
1088,1089,15645517,Philip,850,Spain,Male,22,2,0.0,2,1,1,9684.52,0
1099,1100,15673055,Sung,494,Spain,Male,38,7,0.0,2,1,1,6203.66,0
1101,1102,15782219,Fanucci,703,Spain,Male,29,9,0.0,2,1,0,50679.48,0
1102,1103,15746410,Thompson,432,Spain,Male,38,7,0.0,2,1,0,150580.88,0
1115,1116,15626608,Howarde,479,Spain,Male,48,5,87070.23,1,0,1,85646.41,0
1118,1119,15759381,Johnson,617,Spain,Male,61,7,91070.43,1,1,1,101839.77,0
1119,1120,15585241,Butcher,756,Spain,Male,29,2,117412.19,2,1,0,4888.91,0
1124,1125,15627305,Pan,606,Spain,Male,35,7,0.0,1,1,0,106837.06,1
1126,1127,15593973,Wilkie,663,Spain,Female,33,8,122528.18,1,1,0,196260.3,0
1131,1132,15733974,Mao,500,Spain,Male,37,9,125822.21,1,1,0,111698.0,0
1139,1140,15569247,Mitchell,727,Spain,Female,57,1,109679.72,1,0,1,753.37,0
1142,1143,15763625,Hazon,793,Spain,Male,41,9,0.0,2,1,0,152153.74,0
1148,1149,15616529,Hsieh,613,Spain,Male,34,3,0.0,1,1,1,41724.72,0
1151,1152,15752463,Samuel,826,Spain,Female,29,4,129938.07,1,0,1,190200.53,0
1154,1155,15766887,Iadanza,538,Spain,Male,39,2,122773.5,2,1,1,58467.08,0
1157,1158,15811327,Pan,700,Spain,Male,54,1,79415.67,1,0,1,139735.54,0
1159,1160,15690664,Liang,729,Spain,Male,37,10,0.0,2,1,0,100862.54,0
1170,1171,15590820,Ecuyer,699,Spain,Male,26,6,79932.41,1,0,0,150242.44,0
1173,1174,15808182,Beneventi,478,Spain,Female,36,3,92363.3,2,1,0,44912.7,0
1174,1175,15588670,Despeissis,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1
1175,1176,15721292,Atkins,719,Spain,Male,39,5,0.0,2,1,0,145759.7,0
1192,1193,15589572,Otutodilichukwu,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1
1193,1194,15779947,Thomas,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1
1197,1198,15813444,McIntosh,590,Spain,Female,34,6,0.0,2,1,0,171021.44,0
1206,1207,15599268,Yobachi,584,Spain,Male,32,5,0.0,2,1,0,10956.82,0
1212,1213,15813590,Vance,610,Spain,Male,42,6,0.0,2,1,0,158302.59,1
1214,1215,15674148,Milanesi,579,Spain,Male,33,6,0.0,1,1,0,94993.04,1
1215,1216,15625080,Parkin,745,Spain,Female,54,8,0.0,1,1,0,173912.29,1
